top: failed tty get
   PID TTY          TIME CMD
247370 ?        00:00:00 slurm_script
247373 ?        00:00:00 ps
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 191448  4412 ?        Ss   Nov22   0:20 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root        164  0.0  0.0      0     0 ?        S    Nov22   0:05 [watchdog/31]
root        165  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/31]
root        166  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/31]
root        167  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/31:0]
root        168  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/31:0H]
root        169  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/32]
root        170  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/32]
root        171  0.0  0.0      0     0 ?        S    Nov22   0:09 [ksoftirqd/32]
root        173  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/32:0H]
root        174  0.0  0.0      0     0 ?        S    Nov22   0:05 [watchdog/33]
root        175  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/33]
root        176  0.0  0.0      0     0 ?        S    Nov22   0:09 [ksoftirqd/33]
root        177  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/33:0]
root        178  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/33:0H]
root        179  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/34]
root        180  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/34]
root        181  0.0  0.0      0     0 ?        S    Nov22   0:22 [ksoftirqd/34]
root        183  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/34:0H]
root        184  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/35]
root        185  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/35]
root        186  0.0  0.0      0     0 ?        S    Nov22   0:05 [ksoftirqd/35]
root        188  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/35:0H]
root        191  0.0  0.0      0     0 ?        S    Nov22   0:00 [kdevtmpfs]
root        192  0.0  0.0      0     0 ?        S<   Nov22   0:00 [netns]
root        193  0.0  0.0      0     0 ?        S    Nov22   0:00 [khungtaskd]
root        194  0.0  0.0      0     0 ?        S<   Nov22   0:00 [writeback]
root        195  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kintegrityd]
root        196  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        197  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        198  0.0  0.0      0     0 ?        S<   Nov22   0:00 [bioset]
root        199  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kblockd]
root        200  0.0  0.0      0     0 ?        S<   Nov22   0:00 [md]
root        201  0.0  0.0      0     0 ?        S<   Nov22   0:00 [edac-poller]
root        202  0.0  0.0      0     0 ?        S<   Nov22   0:00 [watchdogd]
root        203  0.0  0.0      0     0 ?        S    Nov22   0:16 [kworker/11:1]
root        204  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/0:1]
root        209  0.0  0.0      0     0 ?        S    Nov22   0:00 [kswapd0]
root        210  0.0  0.0      0     0 ?        S    Nov22   0:00 [kswapd1]
